"",,,,,
"Edições Rosari LtdaR Apeninos, 930, conjunto 91     Cep: 04104-020    São Paulo – SPFone: 115571-7704www.rosari.com.brvendas@rosari.com.br",preços válidos,,,,
Código de barras,Título completo,Autor,Assunto,Preço,
9788588343993,1099 - A Primeira cruzada e dramática conquista de Jerusalém,Conor Kostick,HISTÓRIA,"41,00",
9788580500165,100 Ideias que Mudaram a Arte - Desde a arte das cavernas até a internet,Michael Bird,Arte,"89,00",
9788580500172,100 Ideias que Mudaram a Fotografia - Da câmara escura e do dagurreótipo até a era digit,Mlary Warner Marien,Fotografia,89.00,
9788580500318,"100 ideias que Mudaram o Design Gráfico - De Gutemberg aos Suiços, Hippies e Punks Até",oSste Tvaebnl eHtesller,DESIGN,"89,00",
9788580500028,21 Grandes Designers e Suas Mentes Criativas,Debbie Millman,DESIGN,"46,00",
9788588343153,A Eterna Franklin Gothic,Claudio Rocha,DESIGN,"18,00",
9788588343887,A Fadinha Serifa - Descobertas no mundo das letras,René Siegfried,INFANTO-JUVENI,"23,00",
9788588343306,A Fôrma e a Fórma - As Palavras e as Imagens do Design,Cláudio Ferlauto,DESIGN,"32,00",
9788588343443,A Fórma Sólida da Linguagem,Robert Bringhurst,DESIGN,"36,00",
9798588343299,A Herança Escultórica da Tipografia,Norberto Gaudêncio Junior,DESIGN,"32,00",
9788588343610,A História de Jesus,Andrea Skevington,INFANTO-JUVENI,"52,00",
9788588343696,A Imagem da Marca - Um fenômeno Social,Joan Costa,DESIGN,"51,00",
9788580500325,A linguagem da tipografia,Pierre Duplan,DESIGN/TIPOGR,"F I A 46,00",
9788588343436,A Prática do Design Gráfico - Uma Metodologia Criativa,Rodolfo Fuentes,DESIGN,"56,00",
9788588343214,A Trama do Equilibrio Psíquico - A Questão Econômica e as Relações Objetais,Armando Colognese,PSICOLOGIA,"32,00",
9788580500219,A Vida nos Oceanos,Emma Helbrough,INFANTO-JUVENI,"25,00",
9788580500004,"Arte da Tipografia, A - Composição tipográfica, fotocomposição e tipografia digital",Hermann Zapf,DESIGN,"29,00",
9788588343207,B de Bodoni,Claudio Ferlauto,DESIGN,"18,00",
9788588343139,Bembo - Quando Uma Parceria dá Certo,Fernanda Martins,DESIGN,"18,00",
9788588343276,Capitular Collage,Tide Hellmeister,DESIGN,"21,00",
9788588343283,Como Se Pode Fazer Tipografia Suiça? How can one Make Swiss Typography?,Wolfgang Weingart,DESIGN,"36,00",
9788588343931,Como Usar Imagens,Lindsey Marshall,DESIGN,"89,00",
9788588343900,Crescendo Com Saúde - Aprenda a Cuidar de Si,Christina Goodings,INFANTO-JUVENI,"32,00",
9788588343979,"Cultura Gráfica - Uma Coletânea de Textos Sobre Design, Tipografia e Artes Gráficas",Norberto Gaudêncio Junior,DESIGN,"32,00",
9788580500288,Desenhando a Superfície - Mais considerações além da superfície,Renata Rubim,DESIGN,"55,00",
9788580500158,Design de Logotipos - Mais de 300 Cases Internacionais Descontruídos e Analisados,Mathew Healey,DESIGN,"98,00",
9788580500134,Design Digital,Javier Royo,DESIGN,"51,00",
9788580500097,"Design gráfico e Digital - Prática e ideias criativas – Conceito, metodologia e dicas para cri",çCãaor odley nu mKn pigrhotjeto,Design,"89,00",
9788580500011,"Design Gráfico Para Moda - Brandings, Convites, LookBooks, Embalagens",Jay Hess,DESIGN,"88,00",
9788580500035,Design Gráfico Sustentável,Brian Dougherty,DESIGN,"63,00",
9788588343665,Designer Não Personal Trainer,Adélia Borges,DESIGN,"48,00",
9788580500264,Do Cálamo ao Computador - A evolução gráfica da Escrita Arábica,Stefan F. Moginel,DESIGN,"32,00",
9788588343412,Do Maíz à Maizena - Um Layout de 140 anos,Tadeu Costa,DESIGN,"37,00",
9788580500110,Encontos no Zoo,Rebecca Elliott,INFANTO-JUVENI,"23,00",
9788588343450,"Escritas, espelho dos homens e das sociedades",Ladislas Mandel,DESIGN,"52,00",
9788588343597,Espírito Peregrino,Andrea Skevington,AUTO-AJUDA,"21,00",
9788588343399,"Faces do Design 2 - Ensaios Sobre Arte, Cultura Visual, Design Gráfico e Novas Mídias",Diversos Autores,DESIGN,"47,00",
9788588343115,"Faces do Design l - Cultura, Arte, Educação, Web Design",Diversos Autores,DESIGN,"47,00",
9788588343771,Filosofia Aplicada: Política e Cultura no Mundo Contemporâneo,Rupert Read,FILOSOFIA,"35,00",
9788588343252,Fontes Digitais Brasileiras (de 1989 a 2001),Diversos Autores,DESIGN,"1 05,00",
9788580500141,Fundamentos Essenciais da Ilustração,Andrew Hall,DESIGN,"89,00",
9788580500103,Fundamentos Essenciais do Design Gráfico,Debbie Millman,Design,"89,00",
9788588343347,Garamond - Letras que Bailam,Luciano Cardinali,DESIGN,"18,00",
9788588343245,Gill Sans,Gustavo Piqueira,DESIGN,"18,00",
9788588343092,Helvetica - O Tipo Topa Tudo,Guto Lins,DESIGN,"18,00",
9788588343733,História Concisa da Filosofia - De Sócrates a Derrida,Derek Johnston,FILOSOFIA,"38,00",
9788588343658,História do Cristianísmo,Jonathan Hill,RELIGIÃO,"1 05,00",
9788588343375,Histórias de Alfabetos -  a Autobiografia e a Tipografia de Hermann Zapf,Hermann Zapf,DESIGN,"38,00",
9788588343924,Linguagens do design - Compreendendo o design gráfico,Steven Heller,DESIGN,"79,00",
9788580500295,Livro infantil Ilustrado - A arte da Narrativa Visual,Martin Salisbury e Morag St,DleEsSIGN/ILUSTRA,"Â  O 93,00",
9788588343818,Mudanças Climáticas: Considerações Éticas - O Certo e o Errado no Aquecimento Global,James Garvey,FILOSOFIA,"33,00",
9788588343160,"Na Casca do Ovo, O Princípio do Desenho Industrial",Fernando Lemos,DESIGN,"34,00",
9788580500271,Novo Projeto Tipográfico,Claudio Rocha,DESIGN,"49,00",
9788588343336,O Caminho Sagrado - A Psicologia Moderna e a Tradição Iniciática,Raisa Cavalcanti,PSICOLOGIA,"44,00",
9788588343870,O cartaz - Prêmio Design Museu da Casa Brasileira,Claudio Ferlauto,DESIGN,"29,00",
9788580500127,O Designer Humilde - Lógica e Ética para Inovação,Charles Bezerra,DESIGN,"41,00",
9788588343535,O Efêmero e o Paródico - Crônicas e Ensaios Sobre Design,Claudio Ferlauto,DESIGN,"37,00",
